u	v	x_coord	y_coord	group	intercept	beta_feat1	beta_feat2
0	3	-1.69741	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
1	3	-1.628128	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
2	3	-1.558846	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
3	3	-1.489564	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
4	3	-1.420282	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
5	3	-1.351	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
6	3	-1.281718	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
7	3	-1.212436	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
8	3	-1.143154	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
9	3	-1.073872	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
10	3	-1.004589	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
11	3	-0.935307	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
12	3	-0.866025	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
13	3	-0.796743	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
14	3	-0.727461	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
15	3	-0.658179	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
16	3	-0.588897	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
17	3	-0.519615	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
18	3	-0.450333	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
19	3	-0.381051	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
20	3	-0.311769	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
21	3	-0.242487	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
22	3	-0.173205	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
23	3	-0.103923	-1.489564	3	6.07041887619827	2.35231976297612	-2.35545006753042
24	3	-0.034641	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
25	3	0.034641	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
26	3	0.103923	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
27	3	0.173205	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
28	3	0.242487	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
29	3	0.311769	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
30	3	0.381051	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
31	3	0.450333	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
32	3	0.519615	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
33	3	0.588897	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
34	3	0.658179	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
35	3	0.727461	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
36	3	0.796743	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
37	3	0.866025	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
38	3	0.935307	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
39	3	1.004589	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
40	3	1.073872	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
41	3	1.143154	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
42	3	1.212436	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
43	3	1.281718	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
44	3	1.351	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
45	3	1.420282	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
46	3	1.489564	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
47	3	1.558846	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
48	3	1.628128	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
49	3	1.69741	-1.489564	2	5.97453370774978	2.93542990230951	-2.91696504609036
0	4	-1.69741	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
1	4	-1.628128	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
2	4	-1.558846	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
3	4	-1.489564	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
4	4	-1.420282	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
5	4	-1.351	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
6	4	-1.281718	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
7	4	-1.212436	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
8	4	-1.143154	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
9	4	-1.073872	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
10	4	-1.004589	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
11	4	-0.935307	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
12	4	-0.866025	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
13	4	-0.796743	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
14	4	-0.727461	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
15	4	-0.658179	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
16	4	-0.588897	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
17	4	-0.519615	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
18	4	-0.450333	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
19	4	-0.381051	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
20	4	-0.311769	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
21	4	-0.242487	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
22	4	-0.173205	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
23	4	-0.103923	-1.420282	3	6.07041887619827	2.35231976297612	-2.35545006753042
24	4	-0.034641	-1.420282	2	5.97453370774978	2.93542990230951	-2.91696504609036
25	4	0.034641	-1.420282	2	5.97453370774978	2.93542990230951	-2.91696504609036
