u	v	x_coord	y_coord	group	intercept	beta_feat1	beta_feat2
24	4	4.897959	0.816327	6	1.11629790683115	2.02010700875439	3.58812024999845
25	4	5.102041	0.816327	6	1.11629790683115	2.02010700875439	3.58812024999845
26	4	5.306122	0.816327	6	1.11629790683115	2.02010700875439	3.58812024999845
27	4	5.510204	0.816327	6	1.11629790683115	2.02010700875439	3.58812024999845
28	4	5.714286	0.816327	6	1.11629790683115	2.02010700875439	3.58812024999845
29	4	5.918367	0.816327	6	1.11629790683115	2.02010700875439	3.58812024999845
30	4	6.122449	0.816327	6	1.11629790683115	2.02010700875439	3.58812024999845
31	4	6.326531	0.816327	7	0.853510648382223	2.18586324982664	3.58812024999845
32	4	6.530612	0.816327	7	0.853510648382223	2.18586324982664	3.58812024999845
33	4	6.734694	0.816327	8	0.853510648382223	2.18586324982664	4.02350103453573
34	4	6.938776	0.816327	8	0.853510648382223	2.18586324982664	4.02350103453573
35	4	7.142857	0.816327	8	0.853510648382223	2.18586324982664	4.02350103453573
36	4	7.346939	0.816327	8	0.853510648382223	2.18586324982664	4.02350103453573
37	4	7.55102	0.816327	8	0.853510648382223	2.18586324982664	4.02350103453573
38	4	7.755102	0.816327	8	0.853510648382223	2.18586324982664	4.02350103453573
39	4	7.959184	0.816327	8	0.853510648382223	2.18586324982664	4.02350103453573
40	4	8.163265	0.816327	8	0.853510648382223	2.18586324982664	4.02350103453573
41	4	8.367347	0.816327	8	0.853510648382223	2.18586324982664	4.02350103453573
42	4	8.571429	0.816327	8	0.853510648382223	2.18586324982664	4.02350103453573
43	4	8.77551	0.816327	8	0.853510648382223	2.18586324982664	4.02350103453573
44	4	8.979592	0.816327	8	0.853510648382223	2.18586324982664	4.02350103453573
45	4	9.183673	0.816327	8	0.853510648382223	2.18586324982664	4.02350103453573
46	4	9.387755	0.816327	8	0.853510648382223	2.18586324982664	4.02350103453573
47	4	9.591837	0.816327	8	0.853510648382223	2.18586324982664	4.02350103453573
48	4	9.795918	0.816327	8	0.853510648382223	2.18586324982664	4.02350103453573
49	4	10	0.816327	8	0.853510648382223	2.18586324982664	4.02350103453573
0	5	0	1.020408	1	5.15076740456231	0.66434046506864	-2.85654705279606
1	5	0.204082	1.020408	1	5.15076740456231	0.66434046506864	-2.85654705279606
2	5	0.408163	1.020408	1	5.15076740456231	0.66434046506864	-2.85654705279606
3	5	0.612245	1.020408	1	5.15076740456231	0.66434046506864	-2.85654705279606
4	5	0.816327	1.020408	13	5.05186870290667	0.66434046506864	-2.85654705279606
5	5	1.020408	1.020408	13	5.05186870290667	0.66434046506864	-2.85654705279606
6	5	1.22449	1.020408	14	5.05186870290667	0.66434046506864	-2.85654705279606
7	5	1.428571	1.020408	14	5.05186870290667	0.66434046506864	-2.85654705279606
8	5	1.632653	1.020408	14	5.05186870290667	0.66434046506864	-2.85654705279606
9	5	1.836735	1.020408	15	4.78408937859929	0.66434046506864	-2.85654705279606
10	5	2.040816	1.020408	15	4.78408937859929	0.66434046506864	-2.85654705279606
11	5	2.244898	1.020408	3	4.78408937859929	0.66434046506864	-2.85654705279606
12	5	2.44898	1.020408	3	4.78408937859929	0.66434046506864	-2.85654705279606
13	5	2.653061	1.020408	3	4.78408937859929	0.66434046506864	-2.85654705279606
14	5	2.857143	1.020408	4	4.78408937859929	0.66434046506864	-2.47799505295686
15	5	3.061224	1.020408	4	4.78408937859929	0.66434046506864	-2.47799505295686
16	5	3.265306	1.020408	4	4.78408937859929	0.66434046506864	-2.47799505295686
17	5	3.469388	1.020408	5	1.94913196442572	1.3822811627742	3.36202217616051
18	5	3.673469	1.020408	5	1.94913196442572	1.3822811627742	3.36202217616051
19	5	3.877551	1.020408	5	1.94913196442572	1.3822811627742	3.36202217616051
20	5	4.081633	1.020408	5	1.94913196442572	1.3822811627742	3.36202217616051
21	5	4.285714	1.020408	5	1.94913196442572	1.3822811627742	3.36202217616051
22	5	4.489796	1.020408	6	1.11629790683115	2.02010700875439	3.58812024999845
23	5	4.693878	1.020408	6	1.11629790683115	2.02010700875439	3.58812024999845
24	5	4.897959	1.020408	6	1.11629790683115	2.02010700875439	3.58812024999845
25	5	5.102041	1.020408	6	1.11629790683115	2.02010700875439	3.58812024999845
26	5	5.306122	1.020408	6	1.11629790683115	2.02010700875439	3.58812024999845
27	5	5.510204	1.020408	6	1.11629790683115	2.02010700875439	3.58812024999845
28	5	5.714286	1.020408	16	0.919711409690062	2.02010700875439	3.58812024999845
29	5	5.918367	1.020408	17	1.11629790683115	2.02010700875439	3.58812024999845
30	5	6.122449	1.020408	6	1.11629790683115	2.02010700875439	3.58812024999845
31	5	6.326531	1.020408	7	0.853510648382223	2.18586324982664	3.58812024999845
32	5	6.530612	1.020408	7	0.853510648382223	2.18586324982664	3.58812024999845
33	5	6.734694	1.020408	8	0.853510648382223	2.18586324982664	4.02350103453573
34	5	6.938776	1.020408	8	0.853510648382223	2.18586324982664	4.02350103453573
35	5	7.142857	1.020408	8	0.853510648382223	2.18586324982664	4.02350103453573
36	5	7.346939	1.020408	8	0.853510648382223	2.18586324982664	4.02350103453573
37	5	7.55102	1.020408	8	0.853510648382223	2.18586324982664	4.02350103453573
38	5	7.755102	1.020408	8	0.853510648382223	2.18586324982664	4.02350103453573
39	5	7.959184	1.020408	8	0.853510648382223	2.18586324982664	4.02350103453573
40	5	8.163265	1.020408	8	0.853510648382223	2.18586324982664	4.02350103453573
41	5	8.367347	1.020408	8	0.853510648382223	2.18586324982664	4.02350103453573
42	5	8.571429	1.020408	8	0.853510648382223	2.18586324982664	4.02350103453573
43	5	8.77551	1.020408	8	0.853510648382223	2.18586324982664	4.02350103453573
44	5	8.979592	1.020408	8	0.853510648382223	2.18586324982664	4.02350103453573
45	5	9.183673	1.020408	8	0.853510648382223	2.18586324982664	4.02350103453573
46	5	9.387755	1.020408	8	0.853510648382223	2.18586324982664	4.02350103453573
47	5	9.591837	1.020408	8	0.853510648382223	2.18586324982664	4.02350103453573
48	5	9.795918	1.020408	8	0.853510648382223	2.18586324982664	4.02350103453573
49	5	10	1.020408	8	0.853510648382223	2.18586324982664	4.02350103453573
0	6	0	1.22449	1	5.15076740456231	0.66434046506864	-2.85654705279606
1	6	0.204082	1.22449	1	5.15076740456231	0.66434046506864	-2.85654705279606
2	6	0.408163	1.22449	1	5.15076740456231	0.66434046506864	-2.85654705279606
3	6	0.612245	1.22449	1	5.15076740456231	0.66434046506864	-2.85654705279606
4	6	0.816327	1.22449	1	5.15076740456231	0.66434046506864	-2.85654705279606
5	6	1.020408	1.22449	1	5.15076740456231	0.66434046506864	-2.85654705279606
6	6	1.22449	1.22449	14	5.05186870290667	0.66434046506864	-2.85654705279606
7	6	1.428571	1.22449	14	5.05186870290667	0.66434046506864	-2.85654705279606
8	6	1.632653	1.22449	14	5.05186870290667	0.66434046506864	-2.85654705279606
9	6	1.836735	1.22449	18	5.05186870290667	0.66434046506864	-2.85654705279606
10	6	2.040816	1.22449	18	5.05186870290667	0.66434046506864	-2.85654705279606
11	6	2.244898	1.22449	19	5.05186870290667	0.66434046506864	-2.85654705279606
12	6	2.44898	1.22449	20	5.05186870290667	0.66434046506864	-2.85654705279606
13	6	2.653061	1.22449	20	5.05186870290667	0.66434046506864	-2.85654705279606
14	6	2.857143	1.22449	4	4.78408937859929	0.66434046506864	-2.47799505295686
15	6	3.061224	1.22449	4	4.78408937859929	0.66434046506864	-2.47799505295686
16	6	3.265306	1.22449	4	4.78408937859929	0.66434046506864	-2.47799505295686
17	6	3.469388	1.22449	5	1.94913196442572	1.3822811627742	3.36202217616051
18	6	3.673469	1.22449	5	1.94913196442572	1.3822811627742	3.36202217616051
19	6	3.877551	1.22449	5	1.94913196442572	1.3822811627742	3.36202217616051
20	6	4.081633	1.22449	5	1.94913196442572	1.3822811627742	3.36202217616051
21	6	4.285714	1.22449	5	1.94913196442572	1.3822811627742	3.36202217616051
22	6	4.489796	1.22449	21	1.23988162574347	2.02010700875439	3.58812024999845
23	6	4.693878	1.22449	21	1.23988162574347	2.02010700875439	3.58812024999845
24	6	4.897959	1.22449	21	1.23988162574347	2.02010700875439	3.58812024999845
25	6	5.102041	1.22449	21	1.23988162574347	2.02010700875439	3.58812024999845
26	6	5.306122	1.22449	22	1.11629790683115	2.02010700875439	3.58812024999845
27	6	5.510204	1.22449	22	1.11629790683115	2.02010700875439	3.58812024999845
28	6	5.714286	1.22449	16	0.919711409690062	2.02010700875439	3.58812024999845
29	6	5.918367	1.22449	16	0.919711409690062	2.02010700875439	3.58812024999845
30	6	6.122449	1.22449	16	0.919711409690062	2.02010700875439	3.58812024999845
31	6	6.326531	1.22449	7	0.853510648382223	2.18586324982664	3.58812024999845
32	6	6.530612	1.22449	7	0.853510648382223	2.18586324982664	3.58812024999845
33	6	6.734694	1.22449	8	0.853510648382223	2.18586324982664	4.02350103453573
34	6	6.938776	1.22449	8	0.853510648382223	2.18586324982664	4.02350103453573
35	6	7.142857	1.22449	8	0.853510648382223	2.18586324982664	4.02350103453573
36	6	7.346939	1.22449	8	0.853510648382223	2.18586324982664	4.02350103453573
37	6	7.55102	1.22449	8	0.853510648382223	2.18586324982664	4.02350103453573
38	6	7.755102	1.22449	8	0.853510648382223	2.18586324982664	4.02350103453573
39	6	7.959184	1.22449	8	0.853510648382223	2.18586324982664	4.02350103453573
40	6	8.163265	1.22449	8	0.853510648382223	2.18586324982664	4.02350103453573
41	6	8.367347	1.22449	8	0.853510648382223	2.18586324982664	4.02350103453573
42	6	8.571429	1.22449	8	0.853510648382223	2.18586324982664	4.02350103453573
43	6	8.77551	1.22449	8	0.853510648382223	2.18586324982664	4.02350103453573
44	6	8.979592	1.22449	8	0.853510648382223	2.18586324982664	4.02350103453573
45	6	9.183673	1.22449	8	0.853510648382223	2.18586324982664	4.02350103453573
46	6	9.387755	1.22449	8	0.853510648382223	2.18586324982664	4.02350103453573
47	6	9.591837	1.22449	8	0.853510648382223	2.18586324982664	4.02350103453573
48	6	9.795918	1.22449	8	0.853510648382223	2.18586324982664	4.02350103453573
